# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-ERAD-475
# Selected columns: 18 (all)
# Timestamp: Wed, 05-Aug-2020 16:22:51
Gene ID	Gene Name	zygote	cleavage 2-cell	blastula 128-cell	blastula 1k-cell	blastula dome	gastrula 50%-epiboly	gastrula shield	gastrula 75%-epiboly	segmentation 1-4 somites	segmentation 14-19 somites	segmentation 20-25 somites	pharyngula prim-5	pharyngula prim-15	pharyngula prim-25	hatching long-pec	larval protruding mouth	larval day 4	larval day 5
ENSDARG00000000001	slc35a5	2.0	5.0	15.0	16.0	7.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	5.0	4.0
ENSDARG00000000002	ccdc80	0.3	4.0	3.0	1.0	0.7	0.4	0.3		0.4	3.0	7.0	9.0	11.0	9.0	12.0	19.0	18.0	18.0
ENSDARG00000000018	nrf1	7.0	14.0	83.0	140.0	110.0	61.0	36.0	39.0	60.0	60.0	48.0	44.0	39.0	59.0	42.0	26.0	21.0	24.0
ENSDARG00000000019	ube2h	144.0	162.0	176.0	181.0	176.0	120.0	96.0	102.0	59.0	37.0	65.0	81.0	62.0	57.0	70.0	100.0	106.0	97.0
ENSDARG00000000068	slc9a3r1a	42.0	43.0	92.0	79.0	70.0	80.0	68.0	48.0	18.0	24.0	21.0	19.0	11.0	10.0	9.0	28.0	46.0	36.0
ENSDARG00000000069	dap	265.0	237.0	124.0	113.0	102.0	78.0	63.0	56.0	70.0	69.0	86.0	90.0	89.0	71.0	67.0	72.0	101.0	75.0
ENSDARG00000000086	itsn1	2.0	3.0	18.0	20.0	15.0	9.0	5.0	7.0	13.0	9.0	12.0	11.0	11.0	13.0	12.0	13.0	15.0	15.0
ENSDARG00000000103	myh10	22.0	14.0	41.0	49.0	39.0	36.0	25.0	30.0	60.0	59.0	70.0	75.0	65.0	68.0	52.0	38.0	40.0	35.0
ENSDARG00000000142	tmem267	2.0	5.0	21.0	20.0	12.0	8.0	4.0	6.0	5.0	2.0	4.0	3.0	4.0	7.0	7.0	9.0	9.0	6.0
ENSDARG00000000151	thraa	4.0	5.0	26.0	30.0	9.0	1.0	0.8	2.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	5.0	5.0	5.0
ENSDARG00000000161	itsn2a		0.1	0.6	0.6	0.8	0.3		0.2	0.6	0.6	0.7	0.8	0.6	1.0	3.0	6.0	6.0	5.0
ENSDARG00000000175	hoxb2a			11.0	4.0	2.0	0.5			20.0	33.0	31.0	26.0	27.0	30.0	23.0	13.0	9.0	8.0
ENSDARG00000000183	ptpn4b	27.0	36.0	50.0	59.0	21.0	3.0	1.0	2.0	6.0	8.0	9.0	6.0	6.0	6.0	6.0	10.0	10.0	10.0
ENSDARG00000000189	sema6e	8.0	13.0	15.0	19.0	3.0	0.5	0.4	0.5	3.0	3.0	3.0	6.0	6.0	7.0	11.0	17.0	19.0	19.0
ENSDARG00000000212	krt97		0.6	2.0		49.0	521.0	954.0	915.0	403.0	251.0	162.0	160.0	198.0	121.0	150.0	129.0	385.0	457.0
ENSDARG00000000229	usp49	0.2	0.6	7.0	7.0	9.0	8.0	9.0	15.0	14.0	17.0	17.0	16.0	17.0	19.0	18.0	14.0	11.0	10.0
ENSDARG00000000241	slc40a1	0.3	0.3	0.5	0.5	0.7	0.6	1.0	1.0	5.0	10.0	27.0	50.0	54.0	44.0	45.0	41.0	60.0	55.0
ENSDARG00000000324	dcaf8	28.0	35.0	51.0	48.0	22.0	9.0	9.0	10.0	13.0	12.0	12.0	10.0	13.0	19.0	18.0	20.0	24.0	25.0
ENSDARG00000000349	cfap300									1.0	2.0	2.0	3.0	3.0	0.8	2.0	1.0		0.8
ENSDARG00000000369	prkag3b									1.0	4.0	8.0	11.0	11.0	13.0	7.0	11.0	11.0	11.0
ENSDARG00000000370	triob	0.1		0.4	0.5	0.1			0.7	7.0	5.0	6.0	6.0	6.0	8.0	7.0	10.0	13.0	13.0
ENSDARG00000000380	pde6a					0.6	0.5	0.4	1.0	1.0	0.3		0.1	0.5	0.3	0.6	9.0	14.0	13.0
ENSDARG00000000394	matr3l1.1	81.0	99.0	165.0	134.0	141.0	189.0	248.0	209.0	168.0	115.0	101.0	88.0	76.0	75.0	63.0	50.0	44.0	41.0
ENSDARG00000000423	si:ch73-314g15.3	4.0	6.0	33.0	51.0	22.0	7.0	3.0	6.0	9.0	8.0	8.0	7.0	5.0	6.0	6.0	7.0	6.0	5.0
