Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
ENSDARG00000000001	slc35a5	2	5	15	16	7	3	2	3	3	2	2	2	3	2	3	3	5	4
ENSDARG00000000002	ccdc80	0.3	4	3	1	0.7	0.4	0.3		0.4	3	7	9	11	9	12	19	18	18
ENSDARG00000000018	nrf1	7	14	83	140	110	61	36	39	60	60	48	44	39	59	42	26	21	24
ENSDARG00000000019	ube2h	144	162	176	181	176	120	96	102	59	37	65	81	62	57	70	100	106	97
ENSDARG00000000068	slc9a3r1a	42	43	92	79	70	80	68	48	18	24	21	19	11	10	9	28	46	36
ENSDARG00000000069	dap	265	237	124	113	102	78	63	56	70	69	86	90	89	71	67	72	101	75
ENSDARG00000000086	itsn1	2	3	18	20	15	9	5	7	13	9	12	11	11	13	12	13	15	15
ENSDARG00000000103	myh10	22	14	41	49	39	36	25	30	60	59	70	75	65	68	52	38	40	35
ENSDARG00000000142	tmem267	2	5	21	20	12	8	4	6	5	2	4	3	4	7	7	9	9	6
ENSDARG00000000151	thraa	4	5	26	30	9	1	0.8	2	1	1	2	2	3	3	3	5	5	5
ENSDARG00000000161	itsn2a		0.1	0.6	0.6	0.8	0.3		0.2	0.6	0.6	0.7	0.8	0.6	1	3	6	6	5
ENSDARG00000000175	hoxb2a			11	4	2	0.5			20	33	31	26	27	30	23	13	9	8
ENSDARG00000000183	ptpn4b	27	36	50	59	21	3	1	2	6	8	9	6	6	6	6	10	10	10
ENSDARG00000000189	sema6e	8	13	15	19	3	0.5	0.4	0.5	3	3	3	6	6	7	11	17	19	19
ENSDARG00000000212	krt97		0.6	2		49	521	954	915	403	251	162	160	198	121	150	129	385	457
ENSDARG00000000229	usp49	0.2	0.6	7	7	9	8	9	15	14	17	17	16	17	19	18	14	11	10
ENSDARG00000000241	slc40a1	0.3	0.3	0.5	0.5	0.7	0.6	1	1	5	10	27	50	54	44	45	41	60	55
ENSDARG00000000324	dcaf8	28	35	51	48	22	9	9	10	13	12	12	10	13	19	18	20	24	25
ENSDARG00000000349	cfap300									1	2	2	3	3	0.8	2	1		0.8
ENSDARG00000000369	prkag3b									1	4	8	11	11	13	7	11	11	11
ENSDARG00000000370	triob	0.1		0.4	0.5	0.1			0.7	7	5	6	6	6	8	7	10	13	13
ENSDARG00000000380	pde6a					0.6	0.5	0.4	1	1	0.3		0.1	0.5	0.3	0.6	9	14	13
ENSDARG00000000394	matr3l1.1	81	99	165	134	141	189	248	209	168	115	101	88	76	75	63	50	44	41
ENSDARG00000000423	si:ch73-314g15.3	4	6	33	51	22	7	3	6	9	8	8	7	5	6	6	7	6	5
ENSDARG00000000442	slc39a13	16	23	94	120	67	37	24	23	27	22	26	22	20	16	17	18	14	10
ENSDARG00000000472	cntn2	3	5	6	6	6	3	3	2	1	3	5	6	8	13	19	10	11	12
ENSDARG00000000476	pms1	7	12	37	30	26	16	8	6	8	7	7	6	6	4	3	3	4	5
ENSDARG00000000489	upf3b	41	37	54	57	63	49	42	38	51	56	44	45	34	36	26	21	23	28
ENSDARG00000000503	stx1b										3	12	20	32	47	77	163	151	138
ENSDARG00000000516	ankar									0.2	0.1	0.2	0.1	0.1	0.3			0.2	
ENSDARG00000000529	ofd1	65	73	54	65	59	19	7	9	18	15	15	13	10	9	7	5	6	6
ENSDARG00000000540	asdurf	46	37	49	54	77	41	38	30	34	32	28	18	15	14	11	13	9	8
ENSDARG00000000542	gtf2e1	24	28	81	68	59	35	33	35	30	27	22	18	16	15	12	8	6	7
ENSDARG00000000551	slc1a4	1	1	2	2	0.7	0.9	0.6	1	6	8	19	34	33	17	30	26	14	12
ENSDARG00000000563	ttn.1		0.1	0.1	0.1	0.1	0.1	0.1	0.2	1	2	5	12	17	21	16	18	24	27
ENSDARG00000000567	znf281a	1	4	3	3	18	44	44	39	31	30	31	27	29	44	31	12	11	9
ENSDARG00000000568	ell	147	152	235	258	87	15	14	18	19	15	14	19	19	19	16	19	18	20
ENSDARG00000000588	grasp	7	10	43	54	19	9	5	8	14	18	16	10	4	3	7	7	6	8
ENSDARG00000000606	dnah6									0.2	0.3	0.7	0.8	0.9	0.7	0.7	0.6	0.7	0.6
ENSDARG00000000631	ptpn4a	5	12	60	71	17	6	6	12	13	14	21	18	13	14	13	14	15	14
ENSDARG00000000651	osgepl1					1	3	6	3	8	8	5	8	5	4	4	3	5	4
ENSDARG00000000656	psmb9a		0.6							0.7	1	1	0.9		0.6				
ENSDARG00000000666	creg2		0.4	1	3	1	0.9	2	2	15	14	18	13	10	11	11	21	30	31
ENSDARG00000000690	sypl2b	9	6	4	3	4	9	7	11	23	13	18	25	24	20	18	16	12	8
ENSDARG00000000729	daxx	171	214	200	198	206	86	95	80	46	43	33	38	30	31	20	12	12	11
ENSDARG00000000730	slc6a22.1	64	46	45	64	26	5	4	5	5	6	5	5	5	6	5	11	16	10
ENSDARG00000000747	lcmt2	12	21	32	28	11	6	5	8	11	10	7	4	3	3	2	2	2	3
ENSDARG00000000760	znf511	21	13	33	46	21	6	8	12	14	13	11	10	7	7	7	8	10	10
ENSDARG00000000767	spi1b									2	5	4	3	3	2	2	2	4	4
ENSDARG00000000779	scfd1	21	19	87	78	55	40	30	29	52	44	55	53	46	45	41	43	42	33
ENSDARG00000000796	nr4a1	15	21	23	7	15	2	0.4	0.3	2	1	3	5	11	20	26	47	34	33
ENSDARG00000000804	rassf6	1	0.5		0.6				1	8	12	15	21	18	13	16	18	16	15
ENSDARG00000000830	telo2	3	17	27	22	14	10	15	17	19	19	17	14	10	13	9	7	7	7
ENSDARG00000000837	snx9a	9	12	28	37	22	12	5	0.5	1	2	4	4	6	4	5	10	13	13
ENSDARG00000000853	dstyk	336	334	242	188	221	127	83	55	46	44	44	37	46	46	38	33	33	38
ENSDARG00000000857	mapk14a	58	85	167	170	140	90	86	101	89	71	64	47	40	38	31	30	25	22
ENSDARG00000000861	scrib	81	91	88	89	74	75	58	66	57	48	63	60	47	49	33	29	29	27
ENSDARG00000000887	zgc:56699	1414	1466	923	999	1087	978	765	359	83	55	50	62	36	15	14	7	6	4
ENSDARG00000000906	skap2	5	2	15	18	7	4	4	2	6	6	2	3	5	4	4	5	9	9
ENSDARG00000000935	unk	4	6	14	16	10	3	1	2	4	4	5	4	4	5	4	3	3	3
ENSDARG00000000943	dzip1		0.2	0.2		2	19	28	23	24	18	17	14	13	14	10	9	7	8
ENSDARG00000000966	ncor2	16	18	55	53	23	3	2	6	17	19	21	21	20	29	25	30	30	31
ENSDARG00000001014	myh9b	16	23	35	26	23	25	21	19	18	21	44	87	84	59	56	52	55	40
ENSDARG00000001015	znf384l	0.3	2	3	3	3	3	3	5	6	7	7	6	8	10	12	11	12	13
ENSDARG00000001057	bysl	2	6	46	44	68	127	169	228	266	262	252	174	109	108	73	66	73	101
ENSDARG00000001127	slc17a6a			1	0.5	0.3	0.3					0.3	1	3	5	7	17	18	18
ENSDARG00000001129	dicer1	9	10	41	50	22	7	5	12	27	23	25	20	17	21	16	16	18	17
ENSDARG00000001154	rimbp2					0.2				0.3		0.4	0.3	0.1	0.9	1	4	5	9
ENSDARG00000001162	matr3l1.1	8	16	90	91	88	93	104	88	44	33	36	31	27	33	28	21	21	21
ENSDARG00000001169	hsd17b8	5	7	12	14	10	4	2	0.5	0.4	0.8	0.5	0.6	2	2	3	6	5	5
ENSDARG00000001210	arl14ep	584	485	161	151	62	99	143	146	132	146	121	102	87	96	64	45	38	30
ENSDARG00000001220	mycbp2	6	6	13	15	13	10	7	4	14	12	13	16	15	17	17	22	24	22
ENSDARG00000001234	map4k2			8		1				0.6	2	4	3	3	3	5	7	10	9
ENSDARG00000001241	puf60b	101	152	240	245	247	267	297	276	230	192	188	153	120	135	92	69	63	51
ENSDARG00000001244	srrm1	141	173	220	182	236	303	366	382	258	184	164	122	93	107	77	75	73	84
ENSDARG00000001249	pcgf1	69	78	77	80	26	9	10	12	19	16	13	12	9	14	10	6	6	5
ENSDARG00000001259	gas2a		2	3	4	3	1		0.8	4	1	6	1	1	2	4	5	4	3
ENSDARG00000001303	psmb8a					0.9	0.6	0.6											
ENSDARG00000001313	g2e3	29	35	130	123	39	64	91	72	50	47	47	38	35	37	27	10	8	6
ENSDARG00000001354	slc6a22.2								0.4	1	2	2	3	3	1	4	7	9	9
ENSDARG00000001414	mctp2a			0.4		0.7	12	23	34	15	5	5	5	4	2	4	4	5	4
ENSDARG00000001431	actn3b	0.5	0.8	2	3	2	3	3	3	4	16	49	140	267	319	331	325	331	321
ENSDARG00000001437	slc2a1a										2	19	38	14	5	7	11	25	31
ENSDARG00000001442	inppl1b	17	13	15	13	13	3	1	0.6	0.5	0.2	0.6	1	2	2	2	3	5	4
ENSDARG00000001447	mier1b	14	23	43	37	12	7	7	7	17	17	16	12	14	14	10	8	7	7
ENSDARG00000001452	adam8a	37	43	44	23	10	3	4	7	21	14	11	7	5	7	5	3	4	2
ENSDARG00000001463	tdh2									0.5	0.4	0.2	1	5	14	26	40	36	42
ENSDARG00000001470	mhc1zea	9	15	20	18	17	7	3	3	22	20	20	18	13	18	13	9	13	9
ENSDARG00000001498	skap1		0.3		0.3	0.3			1	3	1	2	2	1	2	0.5	0.4	0.6	0.9
ENSDARG00000001549	sp3a	9	23	58	55	54	32	22	17	11	7	9	8	7	8	5	5	4	3
ENSDARG00000001557	tomm34	22	32	44	36	39	21	21	34	37	26	28	31	21	24	17	14	11	8
ENSDARG00000001558	kifc1	211	260	359	287	234	230	307	255	179	147	136	135	111	120	74	35	33	20
ENSDARG00000001559	csmd2			0.1	0.1	0.1							0.3	0.3	0.2	0.9	2	4	4
ENSDARG00000001578	echs1	4	11	68	73	90	108	86	78	45	25	36	62	83	84	84	106	115	91
ENSDARG00000001621	nfyal	14	26	31	38	41	14	5	2	4	4	5	5	7	6	7	6	6	5
ENSDARG00000001634	kirrel1a	0.2	0.1	0.6	1	0.4	0.4	0.1	0.8	17	19	19	15	14	17	16	17	17	14
ENSDARG00000001656	psmb13a					0.6													
ENSDARG00000001676	gpm6bb	5	9	13	16	16	11	10	4	4	8	19	27	46	57	36	41	46	40
ENSDARG00000001686	uckl1a					0.4				0.5	0.8	1	2	0.9	1	0.8	4	6	6
ENSDARG00000001710	flot1a	30	36	22	23	18	10	9	8	15	16	22	26	35	44	58	57	55	55
ENSDARG00000001712	si:ch211-247n2.1											1	3	3	1	2	1	2	3
ENSDARG00000001721	oc90		0.6	0.6	0.6	0.8	0.4	0.3	0.7	23	54	76	61	25	11	4	0.5	0.3	0.3
ENSDARG00000001729	strn3	55	55	69	73	55	69	75	82	79	64	77	65	50	54	49	48	44	36
ENSDARG00000001733	gulp1a	28	47	65	74	33	7	2	2	12	12	14	17	16	15	18	28	22	19
ENSDARG00000001734	fkbp8	37	36	85	82	39	16	18	17	10	11	12	13	15	14	14	23	26	24
ENSDARG00000001754	noc2l	10	23	95	89	88	95	88	88	140	115	97	64	34	34	22	23	23	29
ENSDARG00000001760	tnxba															0.8	18	15	11
ENSDARG00000001767	slc29a2	102	110	18	19	3	4	6	6	8	8	9	15	11	9	9	7	7	5
ENSDARG00000001769	ptpra	38	60	69	58	53	39	23	22	18	10	16	16	19	17	16	16	18	18
ENSDARG00000001771	otol1a																0.5	0.8	2
ENSDARG00000001776	stim2b	0.8	2	3	3	2	0.6	0.2	1	4	2	2	2	1	2	2	3	2	2
ENSDARG00000001777	nup155	77	75	89	78	84	78	72	51	61	54	56	60	49	44	25	18	19	19
ENSDARG00000001781	tspan11		2	2	0.9	2	2			7	6	8	7	7	6	4	7	10	9
ENSDARG00000001782	prkacba							1	10	5	3	6	12	10	3	5	5	4	2
ENSDARG00000001785	irx2a			0.7	0.5			0.2		0.5	1	4	6	9	15	21	14	15	14
ENSDARG00000001788	atp5po	379	228	48	50	33	33	28	58	146	197	216	268	297	322	353	450	408	313
ENSDARG00000001803	kcnh6a	0.9	0.2			0.1				2	3	3	2	2	1	0.9	2	2	3
ENSDARG00000001804	zgc:112148	29	27	23	14	9	7	4	2	6	5	5	4	6	2	4	6	12	10
ENSDARG00000001807	tnfrsf21					3	2	0.8	0.4	4	3	4	3	4	6	7	14	14	13
ENSDARG00000001817	zmp:0000000521	6	18	32	30	22	8	3	2	4	4	3	3	1		1	4	2	3
ENSDARG00000001818	c3b.2			0.2	0.1		0.2			0.8	1	1	2	1	0.9	1	4	7	9
ENSDARG00000001825	cfap43			0.1	0.2					0.8	1	1	1	0.8	0.9	0.5	0.4	0.3	0.2
ENSDARG00000001829	zgc:112982	13	11	82	79	72	75	83	76	75	56	54	41	39	47	39	38	45	49
ENSDARG00000001835	nalcn	0.2	0.5	0.3	0.3	0.2	0.1	0.3	0.2	0.3	0.5	0.6	1	2	2	4	6	7	7
ENSDARG00000001857	aff4	20	30	79	75	35	21	15	19	11	6	10	11	13	11	11	12	15	15
ENSDARG00000001859	dbx1b					1	0.8	1	1	15	28	45	46	41	36	20	5	5	4
ENSDARG00000001870	atp1a1a.4		0.5	1	2	1	0.5	0.3	0.4	0.1	3	22	49	45	17	31	84	187	265
ENSDARG00000001873	phgdh	1	5	104	114	99	90	72	46	86	93	125	115	108	100	65	42	28	21
ENSDARG00000001879	nav2b	0.3	0.3	2	2	20	23	12	11	20	16	17	14	11	9	7	7	9	9
ENSDARG00000001880	stx3a	14	34	27	32	10	3	3	4	10	6	9	9	9	9	7	17	19	17
ENSDARG00000001881	cacnb3a																1	2	2
ENSDARG00000001882	kbtbd12												1	4	8	11	18	23	25
ENSDARG00000001888	ppm1ba	3	9	34	40	33	38	36	37	24	15	15	12	12	17	10	13	12	12
ENSDARG00000001889	tuba1a					2	11	52	133	255	327	376	407	445	489	551	343	222	165
ENSDARG00000001890	stt3b	65	105	203	188	172	93	53	39	93	83	102	99	76	70	60	64	54	41
ENSDARG00000001891	syt14b	0.3		0.7	1	0.3							0.1	0.5	0.8	2	2	5	4
ENSDARG00000001897	man2b1	20	27	60	52	42	26	15	13	16	15	19	35	25	14	17	13	22	24
ENSDARG00000001898	manea	22	23	18	10	5	1	0.9	3	5	4	4	5	4	5	5	9	8	5
ENSDARG00000001906	si:dkey-247m21.3													0.5		0.3	0.8	0.9	0.7
ENSDARG00000001909	vill												2	4	2	4	5	7	7
ENSDARG00000001910	rorab		0.4	1	1	0.4	0.2	0.4	0.8	3	6	8	8	7	6	16	39	39	48
ENSDARG00000001912	drd4-rs	0.5	0.7	1	2	1	0.3						0.7	0.9	0.6	1	3	2	3
ENSDARG00000001913	palmda									1	4	6	6	5	5	5	7	6	5
ENSDARG00000001929	pink1	5	7	30	26	7	3	3	3	5	2	4	3	2	2	2	4	8	7
ENSDARG00000001930	klhl15	16	16	48	46	14	6	6	9	9	7	7	6	6	10	10	11	11	11
ENSDARG00000001933	prkag2b												2	4	3	3	4	4	6
ENSDARG00000001937	LO018422.1										0.2	2	5	5	5	4	3	4	3
ENSDARG00000001939	b3gat3	2	6	26	27	26	22	21	21	23	18	16	12	11	13	10	9	8	6
ENSDARG00000001940	dnajc1	163	352	485	515	511	215	119	97	93	75	70	51	38	35	36	32	37	31
ENSDARG00000001950	ak1						1	1	1	6	20	71	304	725	982	1392	1551	1337	1357
ENSDARG00000001953	pfkfb3			0.8	1	3	5	2	2	4	5	5	3	2	4	7	13	14	21
ENSDARG00000001968	dock5	1	1	9	9	6	5	3	1	0.7	0.9	1	1	1	1	1	2	4	3
ENSDARG00000001969	txlng	64	73	72	75	31	21	20	22	29	24	24	18	14	14	10	9	9	9
ENSDARG00000001971	cthrc1b																10	20	13
ENSDARG00000001975	hsd11b2	0.4							0.8	2	0.5	1	1	5	11	17	36	38	29
ENSDARG00000001976	fkbp16			1	3	2	1	3	2	11	20	19	24	15	10	9	22	19	19
ENSDARG00000001993	myhb					1	2	1	0.9	2	0.6	0.4	0.2	0.2	0.7	2	87	82	55
ENSDARG00000001994	stxbp1a				0.1					1	11	23	37	57	89	123	227	210	204
ENSDARG00000001999	adamts18					1	16	27	30	16	9	7	5	4	4	6	6	5	5
ENSDARG00000002002	lmcd1	0.5	1	9	19	13	4	1	0.6	3	4	2	1	2	3	5	8	8	7
ENSDARG00000002006	rxrbb	4	8	22	22	6	7	8	10	10	10	10	8	9	11	10	11	14	15
ENSDARG00000002013	grb10a	5	10	13	18	5	4	4	9	15	9	9	7	7	6	6	6	9	10
ENSDARG00000002016	ppil2	27	137	233	203	170	77	64	57	65	52	50	45	34	34	27	23	22	19
ENSDARG00000002020	rictorb	2	4	11	13	5	2	3	6	6	4	5	4	4	5	5	5	6	6
ENSDARG00000002021	pygb	6	9	25	24	20	18	18	9	7	7	14	17	21	21	21	29	50	45
ENSDARG00000002026	qkib									0.6	0.6	2	3	3	6	7	6	8	6
ENSDARG00000002031	tox4a	36	43	130	109	87	82	86	79	64	54	52	40	33	37	30	19	17	14
ENSDARG00000002037	pfkfb2b	0.4	3	10	9	3	0.8					0.5	2	2	2	2	8	8	8
ENSDARG00000002060	brf2	63	46	48	47	14	7	6	8	6	7	7	3	4	5	3	2	1	0.8
ENSDARG00000002071	adss2	0.7	0.6	0.5	1	0.8	1	2	0.4	0.9	0.9	7	17	25	24	26	36	38	25
ENSDARG00000002077	mnat1	33	58	74	77	43	24	18	17	19	19	19	15	12	12	13	11	11	7
ENSDARG00000002082	csnk2a1	182	196	268	255	200	281	329	310	227	185	196	174	140	140	121	114	90	75
ENSDARG00000002084	lamb2			0.2			0.1	0.1		2	4	13	34	43	40	34	36	31	24
ENSDARG00000002097	si:dkeyp-52c3.7												0.4					0.6	0.7
ENSDARG00000002127	stam	217	207	156	158	64	21	20	34	28	31	36	35	34	42	39	34	31	27
ENSDARG00000002128	cwf19l1	120	127	131	113	127	103	76	61	69	55	54	37	29	29	22	15	15	11
ENSDARG00000002131	celf2	0.7	1	3	4	2	0.6	0.3		2	5	13	20	30	38	36	37	37	41
ENSDARG00000002165	psme1	17	18	13	38	10	24	6	7	14	2	2	2		0.8	1	6	15	11
ENSDARG00000002167	cacnb1	7	12	14	9	9	5	2	2	4	3	6	7	10	12	11	13	15	12
ENSDARG00000002168	tra2b	145	146	126	130	153	181	174	136	90	98	96	72	66	67	52	41	38	41
ENSDARG00000002172	aplnra					101	155	164	120	59	42	31	31	24	22	16	17	18	18
ENSDARG00000002174	itfg2	3	3	17	23	11	3	3	5	8	9	12	12	12	9	11	10	10	9
ENSDARG00000002184	igbp1	10	30	126	164	121	47	33	35	49	45	41	27	28	38	26	24	21	18
ENSDARG00000002190	chmp2bb	244	242	165	182	190	182	123	86	54	48	60	69	66	57	61	79	73	61
ENSDARG00000002192	aspn												0.5	1	3	6	21	26	19
