Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[organism part]	Material Type	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[developmental stage]
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513023	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513023	group 1	sequencing assay	ERX1513023	ERR1442646_1	SC	ERR1442646	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442646/ERR1442646_1.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513023	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513023	group 1	sequencing assay	ERX1513023	ERR1442646_2	SC	ERR1442646	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442646/ERR1442646_2.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513113	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513113	group 1	sequencing assay	ERX1513113	ERR1442736_1	SC	ERR1442736	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442736/ERR1442736_1.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513113	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513113	group 1	sequencing assay	ERX1513113	ERR1442736_2	SC	ERR1442736	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442736/ERR1442736_2.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513203	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513203	group 1	sequencing assay	ERX1513203	ERR1442826_1	SC	ERR1442826	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442826/ERR1442826_1.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513203	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513203	group 1	sequencing assay	ERX1513203	ERR1442826_2	SC	ERR1442826	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442826/ERR1442826_2.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513293	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513293	group 1	sequencing assay	ERX1513293	ERR1442916_1	SC	ERR1442916	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442916/ERR1442916_1.fastq.gz	zygote
ERS1079239	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892105	7503af80-e60c-11e5-bc69-3c4a9275d6c6	ERS1079239	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564974_ERX1513293	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513293	group 1	sequencing assay	ERX1513293	ERR1442916_2	SC	ERR1442916	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442916/ERR1442916_2.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513024	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513024	group 2	sequencing assay	ERX1513024	ERR1442647_1	SC	ERR1442647	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442647/ERR1442647_1.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513024	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513024	group 2	sequencing assay	ERX1513024	ERR1442647_2	SC	ERR1442647	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442647/ERR1442647_2.fastq.gz	zygote
