		Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
ABC_transporters	abcb10	ENSDARG00000061591	abcb10	0.9	4	12	10	7	17	17	15	9	7	12	13	11	8	6	8	9	5
ABC_transporters	abcb11a	ENSDARG00000011573	abcb11a	1	2	8	10	5	1	0.5	1	21	6	13	13	2	0.1	0.8	6	8	5
ABC_transporters	abcb11b	ENSDARG00000070078	abcb11b																3	8	11
ABC_transporters	abcb4	ENSDARG00000010936	abcb4	10	3	13	6	1	0.3								0.5	1	7	44	53
ABC_transporters	abcb5	ENSDARG00000021787	abcb5	9	6	12	11	5	16	41	68	11	15	18	22	20	13	15	34	55	72
ABC_transporters	abcb6a	ENSDARG00000063297	abcb6a	70	69	90	84	76	79	53	47	6	3	4	6	6	6	4	7	6	5
ABC_transporters	abcb6b	ENSDARG00000074254	abcb6b	13	31	43	39	36	18	7	3	4	5	5	4	4	2	2	2	2	2
ABC_transporters	abcb7	ENSDARG00000062795	abcb7	81	60	69	73	64	36	16	14	38	32	35	34	28	27	20	27	28	19
ABC_transporters	abcb8	ENSDARG00000056672	abcb8	35	43	52	41	16	5	4	3	11	10	10	11	8	10	8	15	14	10
ABC_transporters	abcb9																				
ABC_transporters	abcb9	ENSDARG00000056200	abcb9					0.7	0.3			0.2		0.2	2	2	2	2	5	9	8
ABC_transporters	abcc1	ENSDARG00000104719	abcc1	4	4	14	17	6	2	2	2	5	5	7	5	4	6	5	9	12	9
ABC_transporters	abcc10																				
ABC_transporters	abcc10																				
ABC_transporters	abcc10	ENSDARG00000077988	abcc10	16	43	64	77	54	9	3	4	8	6	7	7	5	5	5	5	4	4
ABC_transporters	abcc12	ENSDARG00000013050	abcc12	0.4	0.9	2	2	0.6	0.1					0.2		0.2	0.3	0.5	4	7	7
ABC_transporters	abcc13	ENSDARG00000062519	abcc13	2	3		5	0.2				1	0.9	2	1	1	5	4	2	2	1
ABC_transporters	abcc2																				
ABC_transporters	abcc2	ENSDARG00000014031	abcc2	0.1						0.2	6	14	9	13	21	11	2	6	16	67	61
ABC_transporters	abcc3	ENSDARG00000096662	abcc3	0.2	0.1	0.1	0.4	0.3	8	12	21	8	7	8	9	8	8	8	11	11	10
ABC_transporters	abcc4																				
ABC_transporters	abcc4	ENSDARG00000058953	abcc4	2	2	9	10	7	3	2	2	12	9	11	10	9	8	6	8	11	9
ABC_transporters	abcc5	ENSDARG00000061233	abcc5	2	4	3	3	7	9	6	6	18	16	16	16	19	34	29	38	43	53
ABC_transporters	abcc6a	ENSDARG00000016750	abcc6a			0.2	0.3	0.1			0.2	0.6	0.5	0.4	0.1			0.3	0.9	2	3
ABC_transporters	abcc6b.1	ENSDARG00000105403	abcc6b.1				0.7	0.2					0.1				0.2	0.3	0.3	1	1
ABC_transporters	abcc6b.2	ENSDARG00000094901	abcc6b.2						10	8	4	0.8	0.2	0.4	0.9	0.5	1	1	0.9	0.2	0.1
ABC_transporters	abcc8																				
ABC_transporters	abcc8	ENSDARG00000051879	abcc8			0.5	0.3	0.5	3	1			0.1	0.1	0.5	1	1	4	7	7	7
ABC_transporters	abcc8b	ENSDARG00000077007	abcc8b															0.3	3	3	4
ABC_transporters	abcc9	ENSDARG00000015985	abcc9							0.1	0.2	0.4	0.2	1	2	7	7	7	9	9	9
ABC_transporters	abcg1	ENSDARG00000063475	abcg1			1	0.6	1	0.2	0.2	0.2	0.2		0.3	0.1		0.2	0.4	2	4	10
ABC_transporters	abcg2a	ENSDARG00000100075	abcg2a	11	16	7	8	5	3	2	4	3	1	1	2	4	3	8	18	31	58
ABC_transporters	abcg2b																				
ABC_transporters	abcg2b	ENSDARG00000079361	abcg2b																0.6	7	7
ABC_transporters	abcg2c	ENSDARG00000058574	abcg2c	0.3	0.9	7	9	6	6	7	5	11	12	12	12	12	12	11	9	8	5
ABC_transporters	abcg2d	ENSDARG00000016818	abcg2d							0.7						0.8	4	5	3	3	3
ABC_transporters	abcg4a	ENSDARG00000061047	abcg4a		1	4	1	2	1	0.3	0.4			0.2	0.9	0.7	1	2	5	6	5
ABC_transporters	abcg4b	ENSDARG00000078068	abcg4b									0.2	0.5	0.9	1	0.8	0.9	0.8	3	2	1
ABC_transporters	abcg5																				
ABC_transporters	abcg5	ENSDARG00000063078	abcg5																1	4	4
ABC_transporters	abcg8																				
ABC_transporters	abcg8	ENSDARG00000063059	abcg8																0.6	1	2
Antioxidants	TXN	ENSDARG00000031435	TXN	21	31	167	189	221	290	280	339	640	845	736	633	553	539	349	282	275	201
Antioxidants	cat	ENSDARG00000104702	cat	549	454	259	288	163	99	78	24	3	1	2	8	16	24	36	77	105	100
Antioxidants	gclc	ENSDARG00000013095	gclc	81	145	155	148	160	95	37	26	46	40	45	34	26	21	20	29	34	29
Antioxidants	gclm	ENSDARG00000018953	gclm	90	122	121	117	91	69	32	19	30	31	39	29	23	26	21	18	14	10
Antioxidants	gpx1a																				
Antioxidants	gpx1a	ENSDARG00000018146	gpx1a	3	8	18	22	25	31	25	32	50	55	59	58	56	60	52	75	100	93
Antioxidants	gpx1b	ENSDARG00000006207	gpx1b	19	32	32	14	21	16	10	2	7	9	10	13	6	7	5	18	36	36
Antioxidants	gpx3	ENSDARG00000043342	gpx3									0.2	0.1	0.1	0.1	0.8	0.8	2	5	9	9
Antioxidants	gpx4a	ENSDARG00000068478	gpx4a	7	7	9	9	10	18	25	69	429	372	512	663	710	343	408	195	477	484
Antioxidants	gpx4b	ENSDARG00000076836	gpx4b	14	35	71	71	73	158	138	188	278	362	288	245	259	268	258	308	275	218
Antioxidants	gpx7	ENSDARG00000091511	gpx7									14	31	37	56	61	42	46	27	15	4
Antioxidants	gpx8	ENSDARG00000013302	gpx8	15	17	69	101	63	18	8	13	43	51	40	32	33	23	17	13	8	5
Antioxidants	gpx9	ENSDARG00000003077	gpx9									0.4	0.7		0.3	2	5	10	12	11	16
Antioxidants	gsr																				
Antioxidants	gsr	ENSDARG00000019236	gsr	14	22	40	25	28	22	20	12	23	18	22	18	18	14	15	19	23	18
Antioxidants	gss																				
Antioxidants	gss	ENSDARG00000037706	gss	2	10	30	28	29	27	21	7	3	4	4	5	5	3	3	4	7	7
Antioxidants	nme8	ENSDARG00000098944	nme8									0.5	0.8	1	1	0.9	0.7	0.9	1	0.5	
Antioxidants	prdx1	ENSDARG00000058734	prdx1	25	25	65	100	102	79	28	9	28	21	25	44	106	86	56	48	48	27
Antioxidants	prdx2	ENSDARG00000025350	prdx2	13	78	197	264	224	118	68	72	127	174	264	359	457	413	458	475	617	597
Antioxidants	prdx3																				
Antioxidants	prdx3	ENSDARG00000032102	prdx3	128	77	79	123	110	72	51	41	42	80	96	114	127	118	99	123	118	92
