category	geneName	Gene_ID	Gene_Name	cleavage_2-cell	blastula_1k-cell	gastrula_50%-epiboly	segmentation_1-4_somites	larval_protruding_mouth
ABC_transporters	abcb10	ENSDARG00000061591	abcb10	4	10	17	9	8
ABC_transporters	abcb11a	ENSDARG00000011573	abcb11a	2	10	1	21	6
ABC_transporters	abcb11b	ENSDARG00000070078	abcb11b					3
ABC_transporters	abcb4	ENSDARG00000010936	abcb4	3	6	0.3		7
ABC_transporters	abcb5	ENSDARG00000021787	abcb5	6	11	16	11	34
ABC_transporters	abcb6a	ENSDARG00000063297	abcb6a	69	84	79	6	7
ABC_transporters	abcb6b	ENSDARG00000074254	abcb6b	31	39	18	4	2
ABC_transporters	abcb7	ENSDARG00000062795	abcb7	60	73	36	38	27
ABC_transporters	abcb8	ENSDARG00000056672	abcb8	43	41	5	11	15
ABC_transporters	abcb9							
ABC_transporters	abcb9	ENSDARG00000056200	abcb9			0.3	0.2	5
ABC_transporters	abcc1	ENSDARG00000104719	abcc1	4	17	2	5	9
ABC_transporters	abcc10							
ABC_transporters	abcc10							
ABC_transporters	abcc10	ENSDARG00000077988	abcc10	43	77	9	8	5
ABC_transporters	abcc12	ENSDARG00000013050	abcc12	0.9	2	0.1		4
ABC_transporters	abcc13	ENSDARG00000062519	abcc13	3	5		1	2
ABC_transporters	abcc2							
ABC_transporters	abcc2	ENSDARG00000014031	abcc2				14	16
ABC_transporters	abcc3	ENSDARG00000096662	abcc3	0.1	0.4	8	8	11
ABC_transporters	abcc4							
ABC_transporters	abcc4	ENSDARG00000058953	abcc4	2	10	3	12	8
ABC_transporters	abcc5	ENSDARG00000061233	abcc5	4	3	9	18	38
ABC_transporters	abcc6a	ENSDARG00000016750	abcc6a		0.3		0.6	0.9
ABC_transporters	abcc6b.1	ENSDARG00000105403	abcc6b.1		0.7			0.3
ABC_transporters	abcc6b.2	ENSDARG00000094901	abcc6b.2			10	0.8	0.9
ABC_transporters	abcc8							
ABC_transporters	abcc8	ENSDARG00000051879	abcc8		0.3	3		7
ABC_transporters	abcc8b	ENSDARG00000077007	abcc8b					3
ABC_transporters	abcc9	ENSDARG00000015985	abcc9				0.4	9
ABC_transporters	abcg1	ENSDARG00000063475	abcg1		0.6	0.2	0.2	2
ABC_transporters	abcg2a	ENSDARG00000100075	abcg2a	16	8	3	3	18
ABC_transporters	abcg2b							
ABC_transporters	abcg2b	ENSDARG00000079361	abcg2b					0.6
ABC_transporters	abcg2c	ENSDARG00000058574	abcg2c	0.9	9	6	11	9
ABC_transporters	abcg2d	ENSDARG00000016818	abcg2d					3
ABC_transporters	abcg4a	ENSDARG00000061047	abcg4a	1	1	1		5
ABC_transporters	abcg4b	ENSDARG00000078068	abcg4b				0.2	3
ABC_transporters	abcg5							
ABC_transporters	abcg5	ENSDARG00000063078	abcg5					1
ABC_transporters	abcg8							
ABC_transporters	abcg8	ENSDARG00000063059	abcg8					0.6
Antioxidants	TXN	ENSDARG00000031435	TXN	31	189	290	640	282
Antioxidants	cat	ENSDARG00000104702	cat	454	288	99	3	77
Antioxidants	gclc	ENSDARG00000013095	gclc	145	148	95	46	29
Antioxidants	gclm	ENSDARG00000018953	gclm	122	117	69	30	18
Antioxidants	gpx1a							
Antioxidants	gpx1a	ENSDARG00000018146	gpx1a	8	22	31	50	75
Antioxidants	gpx1b	ENSDARG00000006207	gpx1b	32	14	16	7	18
Antioxidants	gpx3	ENSDARG00000043342	gpx3				0.2	5
Antioxidants	gpx4a	ENSDARG00000068478	gpx4a	7	9	18	429	195
Antioxidants	gpx4b	ENSDARG00000076836	gpx4b	35	71	158	278	308
Antioxidants	gpx7	ENSDARG00000091511	gpx7				14	27
Antioxidants	gpx8	ENSDARG00000013302	gpx8	17	101	18	43	13
Antioxidants	gpx9	ENSDARG00000003077	gpx9				0.4	12
Antioxidants	gsr							
Antioxidants	gsr	ENSDARG00000019236	gsr	22	25	22	23	19
Antioxidants	gss							
Antioxidants	gss	ENSDARG00000037706	gss	10	28	27	3	4
Antioxidants	nme8	ENSDARG00000098944	nme8				0.5	1
Antioxidants	prdx1	ENSDARG00000058734	prdx1	25	100	79	28	48
Antioxidants	prdx2	ENSDARG00000025350	prdx2	78	264	118	127	475
Antioxidants	prdx3							
Antioxidants	prdx3	ENSDARG00000032102	prdx3	77	123	72	42	123
Antioxidants	prdx4	ENSDARG00000069013	prdx4	6	27	13	55	91
Antioxidants	prdx5	ENSDARG00000055064	prdx5	1	4	8	208	178
Antioxidants	prdx6							
Antioxidants	prdx6	ENSDARG00000043511	prdx6	28	94	71	27	106
Antioxidants	sod1	ENSDARG00000043848	sod1	130	203	25	23	108
Antioxidants	sod2	ENSDARG00000042644	sod2	7	90	79	4	81
Antioxidants	sod3a	ENSDARG00000070168	sod3a				3	3
Antioxidants	sod3b	ENSDARG00000079183	sod3b					1
Antioxidants	txn							
Antioxidants	txn	ENSDARG00000044125	txn			2	72	36
Antioxidants	txn2	ENSDARG00000034777	txn2	74	22	41	102	83
Antioxidants	txnl1	ENSDARG00000011921	txnl1	258	138	232	218	81
Antioxidants	txnl4a	ENSDARG00000036190	txnl4a	152	171	159	98	51
Antioxidants	txnl4b	ENSDARG00000058962	txnl4b	91	61	15	11	7
HLH-PAS	NPAS3							
HLH-PAS	ahr1a	ENSDARG00000020046	ahr1a				0.5	0.6
HLH-PAS	ahr1b	ENSDARG00000023537	ahr1b					9
HLH-PAS	ahr2	ENSDARG00000021833	ahr2	5	12	4	1	29
HLH-PAS	ahrra	ENSDARG00000099702	ahrra		2			0.7
HLH-PAS	ahrrb							
HLH-PAS	ahrrb							
HLH-PAS	ahrrb	ENSDARG00000052618	ahrrb	0.5	2			
HLH-PAS	arnt							
HLH-PAS	arnt	ENSDARG00000021855	arnt	20	28	12	6	8
HLH-PAS	arnt2	ENSDARG00000103697	arnt2	13	21	15	20	28
HLH-PAS	arntl1a	ENSDARG00000006791	arntl1a	222	151	8	14	23
HLH-PAS	arntl1b							
HLH-PAS	arntl1b	ENSDARG00000035732	arntl1b	2	12	3	4	7
HLH-PAS	arntl2							
HLH-PAS	arntl2							
HLH-PAS	arntl2	ENSDARG00000041381	arntl2	61	83	12	10	7
HLH-PAS	clocka	ENSDARG00000011703	clocka	4	8	0.8	1	4
HLH-PAS	clockb	ENSDARG00000003631	clockb	40	54	7	11	17
HLH-PAS	hif1aa	ENSDARG00000006181	hif1aa	7	5	2		7
HLH-PAS	hif1ab	ENSDARG00000034293	hif1ab	28	154	160	111	84
HLH-PAS	hif1al	ENSDARG00000100826	hif1al	54	47	161	141	164
HLH-PAS	hif1al2	ENSDARG00000044550	hif1al2		0.6			3
HLH-PAS	hif1an	ENSDARG00000031915	hif1an	128	134	31	28	20
HLH-PAS	ncoa1	ENSDARG00000018257	ncoa1	0.6	4	2	6	7
HLH-PAS	ncoa2	ENSDARG00000017929	ncoa2	16	46	20	39	25
HLH-PAS	ncoa3	ENSDARG00000077404	ncoa3	18	39	27	26	20
HLH-PAS	ncoa4	ENSDARG00000021439	ncoa4	285	169	74	55	58
HLH-PAS	ncoa5	ENSDARG00000016345	ncoa5	103	112	260	253	73
HLH-PAS	ncoa6	ENSDARG00000071272	ncoa6	53	63	24	33	17
HLH-PAS	npas1	ENSDARG00000015876	npas1					5
HLH-PAS	npas2							
HLH-PAS	npas2	ENSDARG00000016536	npas2		0.5	0.1	2	5
HLH-PAS	npas4a	ENSDARG00000055752	npas4a					7
HLH-PAS	npas4l							
HLH-PAS	per1a	ENSDARG00000056885	per1a				0.5	8
HLH-PAS	per1b	ENSDARG00000012499	per1b	2	9	3	32	43
HLH-PAS	per2	ENSDARG00000034503	per2	19	35	10	8	21
HLH-PAS	per3	ENSDARG00000010519	per3	3	12	6	11	13
HLH-PAS	sim1a	ENSDARG00000023316	sim1a				1	1
HLH-PAS	sim1b	ENSDARG00000013789	sim1b	0.2	2			4
Heat_response	CLPB	ENSDARG00000088463	CLPB	10	10	5	0.8	5
Heat_response	clpb	ENSDARG00000090232	clpb	23	24	8	3	15
Heat_response	clpxa	ENSDARG00000029063	clpxa	50	81	55	25	46
Heat_response	clpxb	ENSDARG00000067796	clpxb	3	13	6	10	22
