ID	3.3_con_rep1	3.3_con_rep2	3.3_con_rep3	3.3_bap_rep1	3.3_bap_rep2	3.3_bap_rep3
hnrnpa0l	2482.556326	2275.766339	2036.880391	2180.816137	2787.963744	2186.80035
HNRNPAB (2 of 2)	2112.585667	2093.173539	1941.846469	2171.429979	2180.746278	2103.0136
hnrnpa1	1982.863133	1803.944233	1598.131913	1721.118006	2125.9205	1930.221188
lamp2	1799.42696	1990.631726	1960.704596	2248.434386	1748.172576	1699.262955
hspa8	1787.251334	1898.81463	1710.469812	2040.150152	1757.155885	1624.420976
ncl	1735.341704	1650.445022	1590.620196	1658.350811	1646.274444	1679.172178
eef1a1l1	1664.710473	1703.93775	1532.10313	1775.573275	2119.364228	1240.359654
RRM2 (1 of 2)	1600.882932	1799.478782	1693.880968	1903.727624	1525.815795	1730.693699
actb2	1547.57591	1283.661893	1392.212882	1370.549149	1223.324714	1133.685476
ccnb1	1536.494143	1755.920184	1557.397458	1854.167156	1484.841429	1630.068406
pl10	1460.651332	1508.641041	1328.695514	1597.790408	1375.035554	1329.257058
nanog	1460.244714	1481.035937	1358.663549	1431.639376	1744.174278	1632.20198
ccnb2	1454.552065	1555.847242	1512.282107	1594.193434	1282.494841	1651.530444
khdrbs1a	1449.014045	1436.256019	1347.227044	1443.907974	1810.33558	1463.780463
cth1	1310.63227	1824.488581	1469.300895	1692.157505	1316.248889	1580.964634
h1m	1298.960621	1331.21159	1254.14707	1556.021763	1085.170676	1170.673436
eef2b	1271.482421	1033.563899	1154.298667	1003.069653	918.6123577	886.8675272
sall4	1263.212616	1161.737077	1329.258611	1384.625955	1642.673638	1325.648476
mkrn4	1261.082168	1116.853565	1180.533367	1224.745324	1133.692705	1051.29254
ccna1	1234.405749	1345.169534	1277.583177	1453.979501	1032.640997	1252.520573
dnmt1	1200.009319	1885.620012	1521.595736	1702.997035	1219.321741	1630.542032
pfn2	1198.703561	1211.756675	1291.328381	1421.606736	1147.801317	1164.588465
psap	1195.771331	1301.076608	1171.467502	1200.144938	1218.886838	1168.873656
hmga1a	1183.56707	1152.506296	1156.849497	1182.889185	1661.771939	1238.920732
slc16a3	1159.204364	1385.004195	1153.881975	1337.549343	1192.395194	1193.930743
TAF15	1145.808884	1146.236126	958.4309222	1054.239037	1046.772991	1039.93002
hnrnpu	1118.657123	1101.925108	1074.153036	1113.521057	1344.321147	1269.449331
nasp	1109.430908	1543.492281	1200.427593	1543.242784	938.664638	1058.98784
eif4a1a	1109.419454	1102.873812	1078.708493	1225.28487	1141.988588	1133.658412
khsrp	1103.749713	1073.714796	1024.251359	1190.588654	1185.375961	1179.149091
ubc	1102.169058	1104.651269	1105.703375	940.9392189	1033.870882	986.049388
csde1	1101.928523	1071.152205	1114.223036	1207.868711	1271.622278	1148.611471
ctsba	1072.863941	652.2012623	1032.523257	808.3567036	887.0187929	949.295986
hsp90ab1	1061.421372	949.7835251	893.0891183	1039.807395	863.5527615	729.4566943
zgc:112425	1055.574094	991.3029544	918.6987808	966.2006697	1114.178207	1004.665157
hnrnpab	1054.634864	1010.277034	1011.936422	1038.217921	1309.575708	1109.886881
ctsl1a	1048.043074	1004.732023	1030.355333	1029.473386	1258.037419	1057.661687
mat2aa	1037.963534	1156.917224	1062.13091	1093.251622	1132.631169	1211.603771
phc2b	1036.812405	1015.407668	903.1741899	973.7202895	695.6289429	897.1790487
chd7	1024.144255	920.6299613	859.1512475	1093.625902	1095.912301	1036.159052
p4hb	971.5931995	848.0268464	943.2948684	1010.433728	843.7389761	828.1153107
acp5a	970.842961	908.3404284	943.8973824	694.7992641	809.4377923	793.9465552
pou5f1	970.837234	1090.082666	980.6676323	1100.951091	1108.435623	1095.222509
