ID	96_con_rep1	96_con_rep2	96_bap_rep1	96_bap_rep2
actc1b	24518.86599	25008.15416	25601.15135	20492.08128
myhz1.1	14247.5005	16071.8612	15267.22531	11314.71999
eef1a1l1	10603.38135	10586.3839	10303.25228	10251.949
krt4	10050.90817	7524.070672	7203.157546	6592.549833
pvalb2	9703.541609	8344.3858	10376.6137	10157.92399
pvalb1	8180.782666	6812.307691	9270.313396	8321.015634
tpma	7767.681677	7657.748925	8923.763805	7454.379809
mylpfa	7667.826139	7458.705938	8333.485624	7507.357221
atp2a1	7653.083389	8291.30767	7610.479525	6504.631076
mylz3	7283.701495	6779.625324	8213.730151	7125.490157
actb2	6761.542149	6146.68091	5741.712612	5797.436341
ckmb	6291.218009	5872.966085	6514.53162	6579.093457
myhz1.2	5775.951279	6479.217852	6916.357884	5114.740125
eef2b	5120.088864	5407.524945	4777.272065	4549.250072
col1a1a	5079.979464	5779.729189	4485.590163	4127.240038
hspa8	4797.283423	5207.511315	5173.551491	5012.409476
ckma	4639.156024	4454.612784	5149.242536	4784.159944
myhz2	4511.623633	4681.4665	4293.073973	3901.930554
slc25a5	4494.943046	4556.087848	4476.99512	4668.367266
tnnt3b	4404.16874	4277.464525	4925.713896	4524.666743
tnnc2	3906.600909	4098.374982	4449.395126	4131.627495
col2a1a	3801.927381	3948.165103	3348.763082	3160.614295
actb1	3709.807988	3694.876757	3333.151416	3522.641686
APOA1 (1 of 2)	3696.410323	3319.551716	3919.742355	5254.392427
apoa2	3574.668641	2972.129553	3690.047011	5599.42973
rps2	3500.757305	3152.208167	3280.590649	3008.936064
krt5	3499.032251	2860.456607	4520.257903	3872.597917
hsp90ab1	3428.799004	3499.70405	3283.881688	3329.672736
cyt1l	3213.296468	1784.156224	2220.614119	1088.716909
col1a1b	3017.841033	3382.477559	2679.174059	2552.182573
rplp0	2976.713319	2708.090429	2823.743327	3153.399869
myhz1.3	2799.245559	3213.432316	2561.910828	2220.330256
acta1b	2739.674208	3059.585601	2457.492235	2296.861979
tpt1	2723.115212	2324.533363	2511.861476	2953.821463
cyt1	2714.763519	1740.243901	2413.347581	2123.382158
nme2b.2	2543.261255	2479.995765	2676.969382	2485.516974
col1a2	2502.832681	2820.734016	2226.710528	2108.772379
bhmt	2495.347315	2381.567779	2117.722823	3318.35355
rpsa	2493.295489	2386.402558	2424.019494	2412.993894
apoa1a	2425.342048	1970.43343	2103.274203	3914.538839
rho	2419.596935	2731.305967	2085.419519	2004.180155
si:ch73-367p23.2	2375.665059	2399.70895	2759.405114	2473.123539
tnni2a.4	2330.137317	2140.326449	2478.062826	2671.316729
gnb2l1	2321.899615	2177.696156	2157.905449	2192.422412
KRT23 (12 of 15)	2262.85262	1700.865334	1760.149849	1620.051514
rpl3	2258.027029	2351.520889	2325.831508	2363.674581
ybx1	2185.384785	2133.040493	2270.714594	1881.970255
rpl6	2164.08379	1891.559574	2075.226884	2176.924964
KRT23 (3 of 15)	2154.523801	1454.721649	1925.034093	1701.044196
rpl4	2130.57823	2009.326676	2002.798466	2203.147935
TMSB15A	2119.01201	1611.160837	1660.562373	2303.092621
myl1	2096.654705	1956.03353	2150.888826	2024.291217
apobl	2048.603978	2412.376439	2158.806491	3386.02555
mylpfb	2017.598605	1815.284336	2125.966396	2185.648992
rpl7a	1951.339821	1720.855639	1810.806286	2093.992981
si:dkey-151g10.6	1907.69672	1617.248849	1970.335403	2431.889359
ATP5B	1885.795376	2164.733789	1976.073952	1957.405114
opn1sw1	1786.828963	1958.896309	1667.023034	1875.54738
rps3a	1774.434414	1607.290557	1692.137175	1736.624436
rpl8	1738.474262	1625.038556	1747.637511	1781.550638
atp5a1	1738.162688	1961.427349	1752.909563	1690.94626
rplp1	1703.053663	1415.201787	1584.274174	1710.75201
rpl12	1682.793781	1148.588619	1182.134782	1763.689844
RPS6	1592.217057	1485.984913	1497.703875	1551.757581
rps4x	1575.498474	1448.172889	1472.314948	1450.61426
rps8a	1532.334132	1292.64291	1421.383724	1713.833407
wu:fb15e04	1524.635985	1188.550799	1491.562733	1307.682673
rpl10	1521.885018	1365.183021	1430.560291	1645.302008
gapdh	1505.721188	1244.393415	1931.839834	1769.490786
crybb1	1486.122449	1369.397326	1429.537832	1433.313205
rps3	1466.728892	1314.703508	1384.818046	1460.734811
ppiaa	1457.465277	1277.008206	1337.906363	1452.858874
tuba1l	1445.108725	1455.741437	1532.81255	1222.879236
rpl13	1436.483456	1215.691908	1306.695812	1461.300205
eef1g	1412.781065	1310.010025	1271.363474	1403.126823
RPS20	1341.856276	1128.137567	1239.040998	1403.601754
si:dkey-153m14.1	1319.065807	1558.789187	905.4063384	499.6041322
rpl36a	1318.807429	1136.805766	1156.113208	1562.194753
rpl21	1304.832213	1098.956882	1267.318371	1471.652568
ptmab	1298.646338	1179.255983	1345.926273	1457.885226
ttnb	1268.993651	1170.053317	1049.803066	1068.187455
cirbp	1268.659279	1157.029516	1256.972368	1528.621661
