category	gene_name	zf gene ID
abc_transporters	abcb10	ENSDARG00000061591
abc_transporters	abcb11a	ENSDARG00000011573
abc_transporters	abcb11b	ENSDARG00000070078
abc_transporters	abcb4	ENSDARG00000010936
abc_transporters	abcb5	ENSDARG00000021787
abc_transporters	abcb6a	ENSDARG00000063297
abc_transporters	abcb6b	ENSDARG00000074254
abc_transporters	abcb7	ENSDARG00000062795
abc_transporters	abcb8	ENSDARG00000056672
abc_transporters	abcb9	ENSDARG00000056200
abc_transporters	abcb9	ENSDARG00000109326
abc_transporters	abcc10	ENSDARG00000077988
abc_transporters	abcc10	ENSDARG00000111885
abc_transporters	abcc10	ENSDARG00000113210
abc_transporters	abcc12	ENSDARG00000013050
abc_transporters	abcc13	ENSDARG00000062519
abc_transporters	abcc1	ENSDARG00000104719
abc_transporters	abcc2	ENSDARG00000014031
abc_transporters	abcc2	ENSDARG00000116140
abc_transporters	abcc3	ENSDARG00000096662
abc_transporters	abcc4	ENSDARG00000058953
abc_transporters	abcc4	ENSDARG00000115375
abc_transporters	abcc5	ENSDARG00000061233
abc_transporters	abcc6a	ENSDARG00000016750
abc_transporters	abcc6b.1	ENSDARG00000105403
abc_transporters	abcc6b.2	ENSDARG00000094901
abc_transporters	abcc8b	ENSDARG00000077007
abc_transporters	abcc8	ENSDARG00000051879
abc_transporters	abcc8	ENSDARG00000114458
abc_transporters	abcc9	ENSDARG00000015985
abc_transporters	abcg1	ENSDARG00000063475
abc_transporters	abcg2a	ENSDARG00000100075
abc_transporters	abcg2b	ENSDARG00000079361
abc_transporters	abcg2b	ENSDARG00000110043
abc_transporters	abcg2c	ENSDARG00000058574
abc_transporters	abcg2d	ENSDARG00000016818
abc_transporters	abcg4a	ENSDARG00000061047
abc_transporters	abcg4b	ENSDARG00000078068
abc_transporters	abcg5	ENSDARG00000063078
abc_transporters	abcg5	ENSDARG00000115809
abc_transporters	abcg8	ENSDARG00000063059
abc_transporters	abcg8	ENSDARG00000116468
antioxidants	cat	ENSDARG00000104702
antioxidants	gclc	ENSDARG00000013095
antioxidants	gclm	ENSDARG00000018953
