genes	logFC	logCPM	LR	PValue	FDR
hspa5	-0.764040728440678	9.23475646472937	23.0523896690319	1.57646444763828e-06	0.0224425478765786
jam3b	0.929501568494167	5.37995911813537	18.9333755701159	1.35363673450043e-05	0.0958223189966761
si:ch1073-263o8.2	-0.791020055711918	6.31746289989993	18.1710074144982	2.01929584848292e-05	0.0958223189966761
dab2	-0.598275950653272	8.2225486031499	16.0538665676133	6.15657811035573e-05	0.219112614947561
KCNG1	-2.65514873550918	2.55780146560158	14.589286177465	0.000133672374123956	0.300155940863187
f2rl1.2	1.09401653501813	5.14219896645568	14.635174295607	0.000130456807264695	0.300155940863187
elovl7b	-0.451541327463215	7.99216487954252	14.4027066188031	0.000147590024307552	0.300155940863187
clta	-0.759483150140356	6.89299562228694	13.9159265156316	0.000191171704276584	0.321117825494992
fbxw11b	-0.428795889710542	8.06772541458735	13.7375550020919	0.000210208946976689	0.321117825494992
baz2a	0.343911669751224	9.04346730420006	13.6051368920473	0.000225567452581478	0.321117825494992
si:ch211-59h6.1	-4.5453529729041	3.8290173801082	12.2114561494832	0.00047496947454471	0.448164452461897
SLC7A1 (2 of 2)	1.78225243195516	3.96228199769171	12.2765371446839	0.000458688693547864	0.448164452461897
ANK1 (2 of 2)	1.65368022204786	3.20471403556688	12.2052850593561	0.000476543201245881	0.448164452461897
gpia	-0.808552209498249	5.19126288275775	11.3274342571369	0.000763703480519661	0.448164452461897
bmp15	-0.621074784410724	6.18533664184177	11.9739666143189	0.000539489768427172	0.448164452461897
zgc:66483	0.612875519894225	6.71659372371004	11.2869599901919	0.000780533856310976	0.448164452461897
hirip3	-0.561964672718556	7.31012793084146	11.9365236913696	0.00055044091530073	0.448164452461897
ATP5B	-0.535817959501986	8.0730424162714	11.6451437559488	0.000643703593042471	0.448164452461897
uchl1	-0.512453058936592	7.646381242151	11.355550410822	0.000752228250643502	0.448164452461897
TRIO (1 of 2)	0.452698379380915	7.00503441728118	12.0204849131198	0.000526190105754586	0.448164452461897
tbc1d9	0.422958239641025	7.529169524795	11.2958608075447	0.000776800773065304	0.448164452461897
dock11	0.42154164112179	6.97716803848112	11.270254755142	0.000787589196526418	0.448164452461897
vldlr	-0.344485050941974	8.0714519009811	11.1987881097553	0.000818507710312539	0.448164452461897
EIF2C2	0.326048734550032	8.68890837290322	11.805720121704	0.000590490175415557	0.448164452461897
arid1ab	0.27921021265223	9.3967686389507	12.4556539601992	0.000416728445772216	0.448164452461897
MKI67	0.240894676541912	9.86367839795052	11.6694923188034	0.000635333450992683	0.448164452461897
fam169ab	0.555840980386107	7.11287181494811	10.8948507486629	0.000964319589165432	0.508446432272559
FDXACB1	2.15362062851249	4.67216207704964	10.5119048820024	0.00118607925378496	0.578612816143185
dusp14	-2.13929729152399	3.0818568926938	10.5324156368469	0.00117298793191465	0.578612816143185
ENSDARG00000062397	2.07734924751445	3.24909845880832	10.3226810539393	0.00131405261202462	0.578612816143185
ddrgk1	-1.3510496635525	4.20055621734941	10.3912611142743	0.0012661311751201	0.578612816143185
zgc:165539	-0.716317816459742	6.00627581588961	10.1876014632148	0.00141388106543292	0.578612816143185
lipg	-0.680040203136601	5.67749306292696	10.0739039265489	0.00150384055895602	0.578612816143185
FP102118.1	0.634096376320042	5.88585040531485	10.2598656523949	0.00135955580364603	0.578612816143185
SRCAP	0.483112353490829	8.02327235762922	10.2648921590851	0.00135585662604406	0.578612816143185
usp5	-0.425413019127161	7.15399366097367	10.0973729259347	0.0014848084268303	0.578612816143185
acp5a	-0.267887770543698	9.7388016468922	10.1354798022872	0.00145442380456902	0.578612816143185
HIST2H2AB (28 of 30)	1.13950513619137	5.62735689557157	9.84210185420948	0.00170562497464261	0.638980977342426
il13ra2	-1.47398029533071	5.46669921111774	9.62125122468294	0.00192338648760319	0.684533250937977
WDFY3	0.449342105406991	7.08345671470159	9.62715494558245	0.0019172136543773	0.684533250937977
specc1la	0.736186416253851	5.3323252387591	9.5554701866346	0.00199354442805568	0.692197523848796
RAP2A (2 of 2)	0.574769372834689	6.07766341537102	9.4631593656705	0.00209639685303134	0.710578704756053
CABZ01073736.1	2.09386766179917	2.87651326986918	9.33765935967639	0.00224492073785292	0.724714696804703
sez6l	-0.912949562327368	4.72410800266188	9.15749733559767	0.00247701099967432	0.724714696804703
HAUS4	-0.866521381029202	5.82119736632947	9.23017930287374	0.00238058333950345	0.724714696804703
gpx4b	-0.790955991168157	5.23021859008105	9.1446583593929	0.00249445210335982	0.724714696804703
zgc:100919	-0.723373159403669	6.41859885102202	9.34532745086543	0.00223554706069618	0.724714696804703
zgc:195245	-0.476146617958484	6.40818489695339	9.19818081831479	0.00242255760956542	0.724714696804703
zgc:77849	-0.381991034444749	7.58600352583591	9.21200784129637	0.00240432852431923	0.724714696804703
ankrd33bb	-3.62964890654634	2.70625239878998	8.81185686081144	0.00299279308382182	0.745506815507827
NOP14	-0.537625424190225	6.25249856857101	8.79811719820693	0.00301541577227539	0.745506815507827
si:dkey-250d21.1	0.499041687240048	7.17701461326313	8.90024178934584	0.00285132897656672	0.745506815507827
fgfr1a	0.436739134582165	7.39685946167993	8.79431118217987	0.00302171314242684	0.745506815507827
aspm	0.288338130474601	8.49278427588438	9.02557520899619	0.00266228136546718	0.745506815507827
setd2	0.287119351669852	8.86777756482389	8.78490875720853	0.00303732757090854	0.745506815507827
ccng1	0.23808218729642	9.47836987026934	8.79861864045821	0.00301458708892375	0.745506815507827
rif1	0.23549491358218	10.0794783527768	8.98137189530198	0.00272745794063	0.745506815507827
apc	0.218290023682919	8.92747736197968	8.88397470798019	0.00287684553355757	0.745506815507827
TRRAP	0.357080666370171	8.60046750685256	8.67829947635828	0.00322021318012194	0.776999234444337
ENSDARG00000063362	0.797280511839602	4.79526150182709	8.58678822565619	0.00338610702261103	0.790239665145748
lamc1	0.302504299289677	8.08727183363313	8.59136453561237	0.00337760821207769	0.790239665145748
apg3l	-0.49773532898807	6.04007735030689	8.53606762356822	0.00348177040765523	0.799459411667416
CCRN4L (1 of 2)	-1.10446218363341	4.43883278660752	8.4287391235252	0.0036933636273861	0.834582930150293
prpf8	0.289896897261685	9.0382441565544	8.37784576016259	0.0037982235940188	0.844867360694556
dact2	1.74285710680384	3.37746917917938	8.27771808292779	0.00401345362863665	0.873584666087063
nucks1a	0.207840612316617	9.5117830913177	8.26123558764086	0.00405005534994002	0.873584666087063
slc6a9	1.76677611273336	2.56494463966848	7.96450145136869	0.00477036284654234	0.944039249406893
crygmxl1	1.58007892129076	2.99739706618731	7.96290455852315	0.00477457333220682	0.944039249406893
slc25a20	-0.605410479143922	5.95119229300128	8.03999870412344	0.00457555696425971	0.944039249406893
setd3	0.542243867241028	6.49074567534303	8.05169095077581	0.00454612020450584	0.944039249406893
lats1	0.516290612046399	6.62201252590153	8.02247139801104	0.00462004828896872	0.944039249406893
akap1b	-0.296263761173485	8.56748567230131	7.98077494277525	0.00472767001652007	0.944039249406893
ENSDARG00000060661	0.484426117428417	6.11124870885385	7.87448621010957	0.0050137114363447	0.977742411065797
CDH18 (1 of 2)	2.10167167177405	3.39263342802769	7.8484296115528	0.00508648712903745	0.978530145526718
