genes	logFC	logCPM	LR	PValue	FDR
cyp1a	5.67466637722483	8.69268396114127	644.755208888802	3.08856641028506e-142	5.84047908184905e-138
cyp1c1	3.08166427225993	6.831360853772	186.375928585786	1.96529039644994e-42	1.85818206984341e-38
ptgdsb	1.94026091792832	8.94487340611998	172.0246044803	2.6729301576931e-39	1.68483697606588e-35
sult6b1	1.870043708157	7.18276170783668	127.754214456306	1.27040410937327e-29	6.00583542706212e-26
zgc:165423	2.13590608642741	7.03191487307407	126.867343416583	1.98615575511345e-29	7.51164106583907e-26
krt1-19d	1.66685802745452	6.49121905238024	93.6890494867503	3.6919787028378e-22	1.16358862117771e-18
gstp1	1.54152637771495	8.966848698171	85.8832295762027	1.90880740459532e-20	5.15650686012823e-17
rpe65a	2.44067706169499	6.2585085832005	84.785927759231	3.32482321433455e-20	7.85905087288329e-17
zgc:153154	1.79049663684898	6.5086101846403	79.4962454262739	4.831425795957e-19	1.01513624223941e-15
DHRS13 (2 of 5)	1.85308273370893	6.27266074692761	78.1625226042444	9.49020879766858e-19	1.79459848363913e-15
cyp3a65	1.51957377265618	7.05738318326498	76.6397457824537	2.05168617932246e-18	3.5270350591807e-15
foxq1a	2.19626633053663	5.419845132881	74.7761729420763	5.27221770336445e-18	8.30813639755181e-15
si:dkey-251i10.2	1.51001037329164	6.29693668556489	68.1907646626115	1.48419247576228e-16	2.00471997976176e-13
cyb5a	1.42129937242929	6.83036163757689	68.3248422197616	1.38663061680299e-16	2.00471997976176e-13
si:ch211-117m20.5	1.21660681257322	7.43348151335637	61.1219057661794	5.36478840421746e-15	6.76320991491681e-12
zgc:153968	1.59672348470997	5.80046340972157	56.4347669207556	5.80940444096172e-14	6.86598987366164e-11
prdx1	1.44453880342227	5.91087066994655	52.4815184789501	4.34316364734595e-13	4.831130857136e-10
cyp1b1	3.54380822325381	4.03385434191865	50.6090084884186	1.12726433495244e-12	1.18425380966393e-09
mb	1.19378635533763	6.58027361488015	50.2500997432358	1.3534782845084e-12	1.34706707158178e-09
