X3.3_con_rep1	X3.3_con_rep2	X3.3_con_rep3
hnrnpa0l	2469.62041033137	2317.90260946105	2010.32798076154
HNRNPAB (2 of 2)	2101.57756629958	2131.92906712683	1916.53290405391
hnrnpa1	1972.53098061245	1837.34462248451	1577.29894982914
lamp2	1790.0506428697	2027.48867188133	1935.14519986685
hspa8	1777.93846069552	1933.97156392329	1688.17243197248
ncl	1726.29931744704	1681.00334278905	1569.88515423496
eef1a1l1	1656.03612629299	1735.48649938274	1512.13090629205
RRM2 (1 of 2)	1592.54117298861	1832.79649276313	1671.79983719027
actb2	1539.51191916406	1307.42915055059	1374.06424266631
ccnb1	1528.48789619262	1788.43139857994	1537.09550193431
pl10	1453.04028114322	1536.573832624	1311.37487577028
nanog	1452.63578191736	1508.45761458373	1340.95225279994
ccnb2	1446.97279573976	1584.65406590873	1492.56826661999
khdrbs1a	1441.46363283313	1462.84858741565	1329.66483204357
cth1	1303.80292706033	1858.26935321051	1450.14735004952
h1m	1292.19209580114	1355.85923973269	1237.79823201759
eef2b	1264.85707711558	1052.70054200271	1139.25143502737
sall4	1256.63036378643	1183.24687211482	1311.93063233801
mkrn4	1254.51101696282	1137.53233288304	1165.14414414761
ccna1	1227.97360141781	1370.07561786689	1260.92883009807
dnmt1	1193.7564017189	1920.53264492316	1501.76048481005
pfn2	1192.45744766336	1234.19259300959	1274.49485406519
psap	1189.54049670441	1325.16630249356	1156.19646015014
hmga1a	1177.39982873931	1173.8451813522	1141.7690128615
slc16a3	1153.1640700746	1410.64782560922	1138.84017495011
TAF15	1139.83839022286	1167.45891789637	945.936987286628
hnrnpu	1112.82810955379	1122.32747250589	1060.15056820819
nasp	1103.64996981312	1572.07035032645	1184.77903255839
eif4a1a	1103.63857549675	1123.29374195083	1064.64664108155
khsrp	1097.99837795189	1093.59484091804	1010.8994005877
ubc	1096.42595930873	1125.10410892388	1091.28962260454
csde1	1096.18667767021	1090.98480303142	1099.69822282013
ctsba	1067.27354318331	664.27689955342	1019.06346759766
hsp90ab1	1055.89059825148	967.368957667143	881.446967512264
zgc:112425	1050.07378880291	1009.65712753264	906.722787010106
hnrnpab	1049.13945287115	1028.9825160241	998.744998914529
ctsl1a	1042.58201086908	1023.33483803267	1016.92380426906
mat2aa	1032.55499256941	1178.33777856929	1048.28516050294
phc2b	1031.40986178485	1034.20814474221	891.4005719139
chd7	1018.80772201727	937.67560978293	847.951504755507
p4hb	966.530495559988	863.728233640765	930.998244389941
acp5a	965.784166345697	925.158533715057	931.592904124677
pou5f1	965.778469187513	1110.26576531575	967.883823591614
mid1ip1l	958.263902620948	882.898130203559	916.504106846136
rif1	942.471348898454	1016.49875925509	1047.74051912578
gtf2a1	917.158825048941	968.629550607023	836.858598945886
ddx5	912.874553539369	859.185656762409	798.844833428105
tpx2	897.406738529717	1062.58536748781	1033.06298202319
zgc:66127	896.204635765394	793.301632122173	734.766073632299
ctcf	893.333262370348	726.262526911311	905.227801280338
alyref	888.792618245099	939.09169424407	827.38850296544
cirbp	884.029784652237	870.436586741824	790.080548594637
pabpc1a	881.60848754956	980.135931124672	861.923230908512
MKI67	853.487259144505	833.673922950917	895.674341765383
bzw1a	849.402388668767	852.427324101937	818.857635949637
ctbp1	838.446731794486	859.452213801499	801.629174947712
ZFHX2	837.261720504715	770.638727187951	770.779114617977
gmnn	837.096502618941	794.806568997578	798.805930359798
tnpo2	835.022732961321	973.733007917556	846.484306804776
rcc1	834.139671652177	907.943389043865	808.731746982395
hspa5	831.632917077261	754.845220330178	703.799304393731
sox19b	822.187010205592	826.987782953424	752.294643299235
g3bp1	818.261660357965	871.763818890551	800.60658244856
syncrip	816.518326571371	765.413097756879	817.885061610669
polr2a	814.723718162162	778.152304860413	625.06523758039
buc	793.439093107068	842.986760891869	827.799763042694
top1l	785.417478467336	401.10065331099	646.10063269977
hmgb2a	783.770996469348	719.326489524162	692.623034950906
ddx39ab	783.617172899943	884.902861552721	757.424278580853
zgc:114130	779.80006935625	852.727200847303	842.610681839975
ncapd2	778.307411027147	971.345100761044	899.019997744098
hcfc1a	777.213554467278	783.788876350978	764.204511668077
eif4g2a	774.55867348114	775.864356619022	706.894869768922
cdc20	774.171266028274	887.201916294969	783.861629867825
ivns1abpb	772.029130273488	854.809678008021	807.120052245097
hdlbp	771.21443506151	707.025991037819	735.988738574791
cnot6	768.223421046162	609.610485390028	684.809094272654
xrn2	764.007515633756	741.317448508378	675.022216940034
kif23	762.856687392568	838.266479286835	783.061340094462
pnrc2	761.973626182903	580.067075878498	609.498489475946
mycl1a	754.003286066306	689.166666770615	602.284766127717
parn	751.519320223604	975.510055184331	812.221899747677
zfand5b	748.271933592581	770.338850442585	740.067993578219
etf1	747.480027112818	602.702214458726	686.087334970617
pprc1	746.295015823047	693.759223106532	761.520206271443
