X3.3_bap_rep1	X3.3_bap_rep2	X3.3_bap_rep3
hnrnpa0l	2223.93047061922	2788.98733588589	2143.61881851118
HNRNPAB (2 of 2)	2214.35875000322	2181.54693195403	2061.48655891012
hnrnpa1	1755.14419218313	2126.70102484668	1892.10618266355
lamp2	2292.88551995588	1748.81441191619	1665.70855356636
hspa8	2080.48354498729	1757.80101910908	1592.34443754223
ncl	1691.13610129115	1646.87886834607	1646.01449797701
eef1a1l1	1810.67603182802	2120.14234573259	1215.86696107691
RRM2 (1 of 2)	1941.36396871917	1526.37599334206	1696.51865212804
actb2	1397.64465340727	1223.77385371846	1111.29921879993
ccnb1	1890.8236993891	1485.3865837359	1597.88035087982
pl10	1629.37843027081	1375.54039386347	1303.00895743299
nanog	1459.94262295056	1744.81464595399	1599.9717943795
ccnb2	1625.71034475691	1282.96570483952	1618.9185899401
khdrbs1a	1472.45376887482	1811.00023886237	1434.8760034979
cth1	1725.61114740894	1316.73214552925	1549.74620378264
h1m	1586.78402684726	1085.56909290953	1147.55679810493
eef2b	1022.90015541102	918.949623260802	869.355046898724
sall4	1411.99975527086	1643.27674032177	1299.47163209676
mkrn4	1248.95831362422	1134.10893661579	1030.53325032823
ccna1	1482.7244081098	1033.02012780751	1227.78774516622
dnmt1	1736.66497292187	1219.76941103985	1598.34462445036
pfn2	1449.71163950441	1148.22272854713	1141.59198364636
psap	1223.87158252104	1219.33434836662	1145.7925573606
hmga1a	1206.27468646039	1662.38205320131	1214.45645267015
slc16a3	1363.99244731672	1192.83297804507	1170.35485598575
TAF15	1075.08114871427	1047.15731032347	1019.39509969747
hnrnpu	1135.53516333799	1344.81471016812	1244.3822203879
nasp	1573.75240978458	939.009265690763	1038.07659551477
eif4a1a	1249.50852634933	1142.40786542244	1111.2726892177
khsrp	1214.12637254533	1185.81116795634	1155.86508905486
ubc	959.541414064822	1034.25046435581	966.578418600597
csde1	1231.74805309159	1272.08915001312	1125.93047846979
ctsba	824.33776684098	887.344458985506	930.55076560909
