X96_con_rep1	X96_con_rep2
actc1b	25351.4589514964	24186.8360191163
myhz1.1	14731.3062616553	15544.0289147033
eef1a1l1	10963.442891332	10238.7057351982
krt4	10392.2092482147	7276.9650401062
pvalb2	10033.0470783205	8070.33936745545
pvalb1	8458.57944787487	6588.57778866083
tpma	8031.45069038146	7406.25303009326
mylpfa	7928.20433413811	7213.74701559402
atp2a1	7912.96096107145	8019.0044301267
mylz3	7531.03587828066	6556.96877640474
actb2	6991.14544323125	5944.8115315042
ckmb	6504.8503945952	5680.08605252962
myhz1.2	5972.08662974594	6266.42729070793
eef2b	5293.95293879616	5229.93093681393
col1a1a	5252.48153436482	5589.91124394297
hspa8	4960.1859166929	5036.48615718537
ckma	4796.68894801212	4308.3143300356
myhz2	4664.8259092916	4527.71771319273
slc25a5	4647.57889563322	4406.45674859614
tnnt3b	4553.72214494385	4136.98397657999
tnnc2	4039.25828481564	3963.77609480007
col2a1a	3931.03033294044	3818.49941070015
actb1	3835.78281981203	3573.52956402294
APOA1 (1 of 2)	3821.93020711648	3210.53095315165
apoa2	3696.05451387815	2874.51883357954
rps2	3619.63335307004	3048.68330327616
krt5	3617.84972100125	2766.51345199909
hsp90ab1	3545.23154693574	3384.76672173502
cyt1l	3322.41114008757	1725.56094089488
col1a1b	3120.31857841403	3271.3901847554
rplp0	3077.7942808521	2619.15128610041
myhz1.3	2894.30020593489	3107.89672793753
acta1b	2832.70597640659	2959.10264885525
tpt1	2815.58468264271	2248.19100650674
cyt1	2806.949389218	1683.0907870073
nme2b.2	2629.62338206669	2398.54771017446
col1a2	2587.82196536795	2728.09543087587
bhmt	2580.08241701513	2303.35229743658
rpsa	2577.96091667185	2308.02829255855
apoa1a	2507.69996452067	1905.72042834828
rho	2501.7597633527	2641.60437908397
si:ch73-367p23.2	2456.33608219508	2320.89767585053
tnni2a.4	2409.2623438363	2070.03381849517
gnb2l1	2400.74491223106	2106.17622906688
KRT23 (12 of 15)	2339.69284438412	1645.00549144318
rpl3	2334.7033896433	2274.29220780882
ybx1	2259.59441569395	2062.98714796174
rpl6	2237.57009774267	1829.43694860555
KRT23 (3 of 15)	2227.68547792342	1406.94566071171
rpl4	2202.92678147619	1943.33634183132
TMSB15A	2190.96780459392	1558.24707076027
myl1	2167.85130727285	1891.79345006098
apobl	2118.16891031261	2333.14913900358
mylpfb	2086.11068049048	1755.66674301493
rpl7a	2017.60193120994	1664.33927457302
si:dkey-151g10.6	1972.47683105365	1564.13514018692
ATP5B	1949.83177790865	2093.63957230114
opn1sw1	1847.5047388943	1894.56220963392
rps3a	1834.68930524725	1554.50389854895
rpl8	1797.50804581668	1571.66901752311
atp5a1	1797.18589162429	1897.01012518363
rplp1	1760.8846611156	1368.72371055991
rpl12	1739.93680948598	1110.86665586903
RPS6	1646.28435013555	1437.18217616793
rps4x	1628.99805023798	1400.61197517718
rps8a	1584.36796641486	1250.18991387421
wu:fb15e04	1576.40841160704	1149.51639740702
rpl10	1573.56402936661	1320.34766155684
gapdh	1556.85132034854	1203.52502944876
crybb1	1536.58706230894	1324.4235602944
rps3	1516.5349536833	1271.52599741304
ppiaa	1506.95677190643	1235.06868503677
tuba1l	1494.18062553254	1407.93195682027
rpl13	1485.26246622255	1175.76613773412
eef1g	1460.7552074964	1266.9866578459
RPS20	1387.42200857479	1091.08725759846
si:dkey-153m14.1	1363.85763820079	1507.5954112057
rpl36a	1363.59048639761	1099.47077548837
rpl21	1349.14071066546	1062.86492505424
ptmab	1342.74478043746	1140.52684188119
ttnb	1312.08517009542	1131.6264099638
