X96_bap_rep1	X96_bap_rep2
actc1b	24953.7042512576	21023.7674151084
myhz1.1	14881.1207712755	11608.2909386566
eef1a1l1	10042.6854521609	10517.9453654574
krt4	7020.99138514324	6763.59967870983
pvalb2	10114.1915790966	10421.4807889982
pvalb1	9035.8693496906	8536.91213480766
tpma	8698.08391637226	7647.79063614451
mylpfa	8122.73373179377	7702.14259644195
atp2a1	7418.01228705681	6673.39978767205
mylz3	8006.00684655111	7310.36763579596
actb2	5596.50604993449	5947.85622659218
ckmb	6349.78064691398	6749.79416450126
myhz1.2	6741.44481916785	5247.44682140567
eef2b	4656.45597762557	4667.28460228385
col1a1a	4372.15064235196	4234.32512489211
hspa8	5042.71359010838	5142.46110840672
ckma	5019.01940286523	4908.28942970765
myhz2	4184.50314153599	4003.16977647676
slc25a5	4363.77296596871	4789.49240282779
tnnt3b	4801.14374961865	4642.06343591607
tnnc2	4336.87096932814	4238.82641855044
col2a1a	3264.07365095937	3242.61937667597
actb1	3248.85680032216	3614.03990552732
APOA1 (1 of 2)	3820.61299238395	5390.72253245303
apoa2	3596.72658963172	5744.71214964668
rps2	3197.62528276241	3087.00571269976
krt5	4405.94164335784	3973.07607688941
hsp90ab1	3200.83309215984	3416.06419638853
cyt1l	2164.4553100028	1116.96468323357
col1a1b	2611.41837692887	2618.40132695613
rplp0	2752.33152212977	3235.21776567389
myhz1.3	2497.12070547196	2277.93879250474
acta1b	2395.34283413984	2356.45620233952
tpt1	2448.3370898173	3030.46111204314
cyt1	2352.31458806097	2178.47528580479
nme2b.2	2609.26945569187	2550.00602689782
col1a2	2170.39754225247	2163.4864424811
bhmt	2064.16611068862	3404.45132356509
rpsa	2362.7166108902	2475.60126803932
apoa1a	2050.08289289151	4016.10519517442
rho	2032.67974965219	2056.18047581236
si:ch73-367p23.2	2689.62040741045	2537.29103268352
tnni2a.4	2415.39319972965	2740.62652959496
gnb2l1	2103.33252752412	2249.30685349883
KRT23 (12 of 15)	1715.63607313472	1662.08525944468
rpl3	2267.01177597188	2425.00231952759
ybx1	2213.28875576881	1930.79972613071
rpl6	2022.74488399502	2233.40730977616
KRT23 (3 of 15)	1876.35043336869	1745.17937201565
rpl4	1952.14816365813	2260.3106601828
TMSB15A	1618.56714098948	2362.84850414942
myl1	2096.49335327017	2076.81333804737
apobl	2104.21078238378	3473.8791366347
mylpfb	2072.20120566554	2242.35769080817
rpl7a	1765.01142075245	2148.32357923448
si:dkey-151g10.6	1920.50608388925	2494.98699347795
ATP5B	1926.09950633418	2008.1918128074
opn1sw1	1624.86441339171	1924.21020365658
rps3a	1649.34342367022	1781.68277448184
rpl8	1703.44016922106	1827.77462863694
atp5a1	1708.57889226545	1734.81943566093
rplp1	1544.20825260663	1755.13906429173
rpl12	1152.23887128626	1809.45041970109
RPS6	1459.82729611543	1592.01937674411
rps4x	1435.08044911026	1488.251798076
rps8a	1385.43726379115	1758.3004110069
wu:fb15e04	1453.84146215281	1341.61171792499
rpl10	1394.38175756916	1687.99090102979
gapdh	1882.98405877885	1815.40187254427
crybb1	1393.38515631688	1470.50185108985
rps3	1349.79632319108	1498.63493619797
ppiaa	1304.07102562509	1490.55465067686
tuba1l	1494.04808097882	1254.60797676621
rpl13	1273.6497821222	1499.2149998719
eef1g	1239.21099064349	1439.5322552933
RPS20	1207.70594246243	1440.01950882044
si:dkey-153m14.1	882.508824965313	512.566826740591
rpl36a	1126.87537677498	1602.72735089282
rpl21	1235.26818734734	1509.83596457212
ptmab	1311.88811398669	1495.71141606104
ttnb	1023.25379327236	1095.90257342843
cirbp	1225.18383233084	1568.28317375094
rpl26	1239.18607510046	1238.80704388863
rpl7	1268.92215579069	1482.96741835526
rps5	1180.33056025139	1288.49529302733
ttna	1051.88115569082	1115.8799639376
actn3a	1362.81442247994	1230.90077726452
ckbb	1347.22384649497	1290.46170820485
rpl19	1059.83527758967	1205.47658953421
rpl15	1146.08486081968	1276.9346254626
rps27a	1261.9334921774	1401.96733632432
ctsl1a	1180.39907653266	2327.57483535877
zgc:158463	1092.75425213429	830.216039243465
rps12	1227.03377192503	1261.00027755016
crybb1l2	1178.53667916696	1094.33060163126
sepp1a	1194.75635945483	1727.69045440093
eif5a	1138.38611787598	1449.51515036256
rpl18a	1090.08211619019	1189.64085246686
rpl9	1067.85791479507	1282.8686762109
zgc:165344	1089.51529879543	1112.5910039118
sparc	1218.74952736608	1268.81953575172
rps9	1084.81258800696	1206.83973927055
RPL31	1074.96492577569	1197.54131941862
hmga1a	991.767432235932	1360.04033840422
atp2a1l	1167.41834958363	1107.85768437351
rpl23a	1059.984766949	1271.2616030598
hbae3	642.73909464072	789.826210264489
gapdhs	1098.96432208533	1165.6378204299
pabpc1a	1058.77638845453	1168.81656923997
rpl10a	1073.2333315994	1392.05404860867
rps14	1048.76677811769	1264.82869738777
RPL37A	1069.6393390827	1355.46943739228
aldob	781.272854997565	1435.65743089527
serbp1	1010.14849153232	1218.27279249871
rpl17	1033.65581610159	1136.88406778572
rpl13a	1056.46552008668	1269.65482707285
rps10	977.740273923284	1091.1518528212
aldoab	873.925599348382	925.984541038075
rpl5b	939.265248883673	1090.85021958764
rps7	1022.44405566868	1280.97766908528
fetub	1025.42762907768	1252.42693780362
naca	932.712597721239	1146.10707855981
vdac2	1059.3618920192	1209.54863562241
AK1	1112.99148039798	1171.91990999813
zgc:136930	973.26179873335	878.790565799902
RPS17	1068.10706535181	1088.06011345963
ahcy	800.824919863769	1365.58574647046
rpl24	945.176338264095	1109.94011351696
rpl23	991.661543614831	1070.97724062186
rpl11	998.344999136338	1156.10157502566
rpl5a	949.530238663011	1125.17838378954
uba52	984.062461868543	1083.43120649067
rpl18	914.088617436158	1102.2020640656
krt8	877.812342965123	1008.62620324573
rps23	897.308349029162	1074.6722454246
rpl14	935.932864500291	1044.2595105088
rpl28	936.400021184996	1008.49858931954
rpl32	868.911450802593	1098.79129040153
slc25a3b	982.063030965595	1115.16068555645
hdlbp	887.049588038111	942.469948722594
hbbe1.1	666.726033666208	762.365999079694
