category	gene_name	zf gene ID	
abc_transporters	abcb10	ENSDARG00000061591	0.0875510957324231	0.810964448357618
abc_transporters	abcb11a	ENSDARG00000011573	0.151419469588331	0.755420845713543
abc_transporters	abcb11b	ENSDARG00000070078	0.544840361093314	0.376479022012022
abc_transporters	abcb4	ENSDARG00000010936	0.218591526109995	0.277479260183198
abc_transporters	abcb5	ENSDARG00000021787	0.281991349439782	0.152338523262448
abc_transporters	abcb6a	ENSDARG00000063297	
abc_transporters	abcb6b	ENSDARG00000074254	
abc_transporters	abcb7	ENSDARG00000062795	-0.00261657897210915	0.990949074220801
abc_transporters	abcb8	ENSDARG00000056672	0.0742489357128826	0.832807469942977
abc_transporters	abcb9	ENSDARG00000056200	0.827552657020247	0.0882966811888842
abc_transporters	abcb9	ENSDARG00000109326	0.827552657020247	0.0882966811888842
abc_transporters	abcc10	ENSDARG00000077988	-0.374604829668176	0.446972169933541
abc_transporters	abcc10	ENSDARG00000111885	-0.374604829668176	0.446972169933541
abc_transporters	abcc10	ENSDARG00000113210	-0.374604829668176	0.446972169933541
abc_transporters	abcc12	ENSDARG00000013050	0.130250790616975	0.74180365545337
abc_transporters	abcc13	ENSDARG00000062519	-0.574867123760782	0.521014387351501
abc_transporters	abcc1	ENSDARG00000104719	0.0684028510157169	0.749689049333343
abc_transporters	abcc2	ENSDARG00000014031	0.358192198745606	0.040703516203345
abc_transporters	abcc2	ENSDARG00000116140	0.358192198745606	0.040703516203345
abc_transporters	abcc3	ENSDARG00000096662	-0.690143053578998	0.0936057827236037
abc_transporters	abcc4	ENSDARG00000058953	-0.0735393717038845	0.833739237953281
abc_transporters	abcc4	ENSDARG00000115375	-0.0735393717038845	0.833739237953281
abc_transporters	abcc5	ENSDARG00000061233	-0.273542499951107	0.181094073869643
abc_transporters	abcc6a	ENSDARG00000016750	0.302063369483298	0.726156696659266
abc_transporters	abcc6b.1	ENSDARG00000105403	
abc_transporters	abcc6b.2	ENSDARG00000094901	
abc_transporters	abcc8b	ENSDARG00000077007	
abc_transporters	abcc8	ENSDARG00000051879	-0.113692901735499	0.729712383075031
abc_transporters	abcc8	ENSDARG00000114458	-0.113692901735499	0.729712383075031
abc_transporters	abcc9	ENSDARG00000015985	-0.386837973692342	0.267619921573313
abc_transporters	abcg1	ENSDARG00000063475	0.310689700266297	0.65003876220748
abc_transporters	abcg2a	ENSDARG00000100075	0.535296766501116	0.00685415522707251
abc_transporters	abcg2b	ENSDARG00000079361	0.388329611417414	0.594681393350783
abc_transporters	abcg2b	ENSDARG00000110043	0.388329611417414	0.594681393350783
abc_transporters	abcg2c	ENSDARG00000058574	0.134029890203438	0.683828386176818
abc_transporters	abcg2d	ENSDARG00000016818	-0.187767477682688	0.880635577656229
abc_transporters	abcg4a	ENSDARG00000061047	-0.994902339226073	0.369908704008409
abc_transporters	abcg4b	ENSDARG00000078068	0.211646725821339	0.849017258864944
abc_transporters	abcg5	ENSDARG00000063078	0.293330045036249	0.758597105491163
abc_transporters	abcg5	ENSDARG00000115809	0.293330045036249	0.758597105491163
abc_transporters	abcg8	ENSDARG00000063059	0.537067644199684	0.585786658526235
abc_transporters	abcg8	ENSDARG00000116468	0.537067644199684	0.585786658526235
antioxidants	cat	ENSDARG00000104702	0.355914593698099	0.0253719323414833
antioxidants	gclc	ENSDARG00000013095	0.303843160536928	0.122107308333907
antioxidants	gclm	ENSDARG00000018953	0.219347429238183	0.58081349003196
antioxidants	gsr	ENSDARG00000019236	0.89429371891126	5.53215035955525e-05
antioxidants	gsr	ENSDARG00000114106	0.89429371891126	5.53215035955525e-05
antioxidants	gss	ENSDARG00000037706	0.216025439968169	0.702251157718224
antioxidants	gss	ENSDARG00000109538	0.216025439968169	0.702251157718224
antioxidants	nme8	ENSDARG00000098944	
antioxidants	txn	ENSDARG00000031435	1.10466723317149	4.31664846953276e-07
